# #q, USAXS_int, USAXS_sub
1.696919094841404241e-01,1.965559035305539887e-05,-7.948408286807729544e-06
1.731810818890629211e-01,1.942766486682606609e-05,-6.545937049859797217e-06
1.767419979858815826e-01,1.924566913406216743e-05,-7.725522835509890027e-06
1.803761329545899295e-01,1.922239571018200183e-05,-7.979382306702404798e-06
1.840849923075494887e-01,1.848917699966790839e-05,-8.390914871324228801e-06
1.878701125131767846e-01,1.956358350091077223e-05,-6.244014052100859178e-06
1.917330616324565418e-01,1.903479999628719991e-05,-8.051475552417399362e-06
1.956754399685423085e-01,1.822160022661514236e-05,-9.145883459932283634e-06
1.996988807297125912e-01,1.845448980299290657e-05,-8.833658867087090859e-06
2.038050507059611105e-01,1.899540331516919877e-05,-7.452557229735070628e-06
2.079956509594962644e-01,1.767658729498164358e-05,-9.926196589640019947e-06
2.122724175294404270e-01,1.791785818459158130e-05,-8.817678500956747240e-06
