# #q, WAXS_int
2.332495115959300591e+00,7.683003540039062500e+02
2.334215849595393077e+00,7.681080932617187500e+02
2.335936583231486008e+00,7.678190917968750000e+02
2.337657316867578494e+00,7.654224853515625000e+02
2.339378050503670980e+00,7.634432983398437500e+02
2.341098784139763911e+00,7.621018676757812500e+02
2.342819517775856397e+00,7.594785156250000000e+02
2.344540251411949328e+00,7.621330566406250000e+02
2.346260985048041814e+00,7.625885009765625000e+02
2.347981718684134744e+00,7.572163085937500000e+02
2.349702452320227231e+00,7.597123413085937500e+02
2.351423185956319717e+00,7.569084472656250000e+02
2.353143919592412647e+00,7.558204345703125000e+02
2.354864653228505134e+00,7.564157714843750000e+02
2.356585386864598064e+00,7.576353759765625000e+02
2.358306120500690550e+00,7.567337036132812500e+02
2.360026854136783481e+00,7.552402343750000000e+02
2.361747587772875967e+00,7.538554077148437500e+02
2.363468321408968453e+00,7.510677490234375000e+02
2.365189055045061384e+00,7.513572998046875000e+02
2.366909788681154314e+00,7.537402343750000000e+02
2.368630522317246800e+00,7.488676757812500000e+02
2.370351255953339287e+00,7.483076782226562500e+02
2.372071989589432217e+00,7.467866821289062500e+02
2.373792723225524703e+00,7.485036010742187500e+02
2.375513456861617634e+00,7.461610107421875000e+02
2.377234190497710120e+00,7.435076293945312500e+02
2.378954924133803051e+00,7.429677734375000000e+02
2.380675657769895537e+00,7.462721557617187500e+02
2.382396391405988023e+00,7.454223632812500000e+02
2.384117125042080954e+00,7.446395874023437500e+02
2.385837858678173440e+00,7.416734619140625000e+02
2.387558592314266370e+00,7.389378051757812500e+02
2.389279325950358857e+00,7.354200439453125000e+02
2.391000059586451787e+00,7.373355712890625000e+02
2.392720793222544273e+00,7.378240966796875000e+02
2.394441526858636760e+00,7.384052124023437500e+02
2.396162260494729690e+00,7.347178955078125000e+02
2.397882994130822176e+00,7.317920532226562500e+02
2.399603727766915107e+00,7.331014404296875000e+02
2.401324461403007593e+00,7.333669433593750000e+02
2.403045195039100523e+00,7.337079467773437500e+02
2.404765928675193010e+00,7.336271362304687500e+02
2.406486662311285940e+00,7.306381835937500000e+02
2.408207395947378426e+00,7.290772705078125000e+02
2.409928129583470913e+00,7.288934936523437500e+02
2.411648863219563843e+00,7.284492187500000000e+02
2.413369596855656773e+00,7.266939086914062500e+02
2.415090330491749260e+00,7.271201782226562500e+02
2.416811064127841746e+00,7.208471679687500000e+02
2.418531797763934676e+00,6.935317993164062500e+02
2.420252531400027163e+00,6.980488281250000000e+02
2.421973265036120093e+00,7.027547607421875000e+02
2.423693998672212579e+00,7.635200805664062500e+02
2.425414732308305510e+00,7.561450805664062500e+02
2.427135465944397996e+00,7.375250854492187500e+02
2.428856199580490483e+00,7.309207763671875000e+02
2.430576933216583413e+00,7.262792358398437500e+02
2.432297666852675899e+00,7.255012817382812500e+02
2.434018400488768830e+00,7.259069213867187500e+02
2.435739134124861316e+00,7.243242797851562500e+02
2.437459867760954246e+00,7.218419799804687500e+02
2.439180601397046733e+00,7.212524414062500000e+02
2.440901335033139219e+00,7.217582397460937500e+02
2.442622068669232149e+00,7.187867431640625000e+02
2.444342802305324636e+00,7.188783569335937500e+02
2.446063535941417566e+00,7.168986816406250000e+02
2.447784269577510052e+00,7.157407226562500000e+02
2.449505003213602983e+00,7.146436157226562500e+02
2.451225736849695469e+00,7.152592773437500000e+02
2.452946470485787955e+00,7.130757446289062500e+02
2.454667204121880886e+00,7.125269775390625000e+02
2.456387937757973372e+00,7.115617675781250000e+02
2.458108671394066302e+00,7.148447265625000000e+02
2.459829405030159233e+00,7.132056274414062500e+02
2.461550138666251719e+00,7.106480712890625000e+02
2.463270872302344205e+00,7.075243530273437500e+02
